Size: 10240, TotalTime: 0.06383657455444336, EncodingTime: 0.027655601501464844
Size: 10240, TotalTime: 0.04470396041870117, EncodingTime: 0.017325639724731445
Size: 10240, TotalTime: 0.05635833740234375, EncodingTime: 0.021100282669067383
Size: 10240, TotalTime: 0.05584526062011719, EncodingTime: 0.026435375213623047
Size: 10240, TotalTime: 0.06834959983825684, EncodingTime: 0.029842615127563477
Size: 10240, TotalTime: 0.056911468505859375, EncodingTime: 0.02260303497314453
Size: 10240, TotalTime: 0.06882333755493164, EncodingTime: 0.027297258377075195
Size: 10240, TotalTime: 0.06671857833862305, EncodingTime: 0.02725362777709961
Size: 10240, TotalTime: 0.0679633617401123, EncodingTime: 0.0281679630279541
Size: 10240, TotalTime: 0.06574249267578125, EncodingTime: 0.025797367095947266
Size: 10240, TotalTime: 0.05320596694946289, EncodingTime: 0.02114105224609375
Size: 10240, TotalTime: 0.05647873878479004, EncodingTime: 0.02177739143371582
Size: 10240, TotalTime: 0.06351423263549805, EncodingTime: 0.026842832565307617
Size: 10240, TotalTime: 0.05786466598510742, EncodingTime: 0.026802778244018555
Size: 10240, TotalTime: 0.06490182876586914, EncodingTime: 0.027892351150512695
Size: 10240, TotalTime: 0.08310413360595703, EncodingTime: 0.04284214973449707
Size: 10240, TotalTime: 0.057907819747924805, EncodingTime: 0.03156137466430664
Size: 10240, TotalTime: 0.06689286231994629, EncodingTime: 0.027449369430541992
Size: 10240, TotalTime: 0.059531450271606445, EncodingTime: 0.022110939025878906
Size: 10240, TotalTime: 0.0525205135345459, EncodingTime: 0.021159887313842773
Size: 10240, TotalTime: 0.08705925941467285, EncodingTime: 0.02817845344543457
Size: 10240, TotalTime: 0.06525158882141113, EncodingTime: 0.024495363235473633
Size: 102400, TotalTime: 0.08270955085754395, EncodingTime: 0.035593509674072266
Size: 102400, TotalTime: 0.0905308723449707, EncodingTime: 0.03360295295715332
Size: 102400, TotalTime: 0.08303546905517578, EncodingTime: 0.03466796875
Size: 102400, TotalTime: 0.08443737030029297, EncodingTime: 0.030567169189453125
Size: 102400, TotalTime: 0.07115745544433594, EncodingTime: 0.027878761291503906
Size: 102400, TotalTime: 0.07705831527709961, EncodingTime: 0.028039216995239258
Size: 102400, TotalTime: 0.07928729057312012, EncodingTime: 0.0334012508392334
Size: 102400, TotalTime: 0.0870199203491211, EncodingTime: 0.030289649963378906
Size: 102400, TotalTime: 0.07888364791870117, EncodingTime: 0.02765488624572754
Size: 102400, TotalTime: 0.08252191543579102, EncodingTime: 0.0275726318359375
Size: 102400, TotalTime: 0.0791771411895752, EncodingTime: 0.03498196601867676
Size: 102400, TotalTime: 0.08817100524902344, EncodingTime: 0.03121352195739746
Size: 102400, TotalTime: 0.08107423782348633, EncodingTime: 0.028504371643066406
Size: 102400, TotalTime: 0.08113598823547363, EncodingTime: 0.028947114944458008
Size: 102400, TotalTime: 0.07620668411254883, EncodingTime: 0.03532981872558594
Size: 102400, TotalTime: 0.07358431816101074, EncodingTime: 0.02836155891418457
Size: 102400, TotalTime: 0.08625268936157227, EncodingTime: 0.0358123779296875
Size: 102400, TotalTime: 0.09029889106750488, EncodingTime: 0.032889366149902344
Size: 102400, TotalTime: 0.07864141464233398, EncodingTime: 0.03693890571594238
Size: 102400, TotalTime: 0.08565664291381836, EncodingTime: 0.027412891387939453
Size: 102400, TotalTime: 0.0904848575592041, EncodingTime: 0.03504538536071777
Size: 102400, TotalTime: 0.08582830429077148, EncodingTime: 0.034722089767456055
Size: 102400, TotalTime: 0.08156490325927734, EncodingTime: 0.034465789794921875
Size: 102400, TotalTime: 0.07720017433166504, EncodingTime: 0.02435779571533203
Size: 102400, TotalTime: 0.07415127754211426, EncodingTime: 0.030373096466064453
